make,model,months_old,power,gear,fuel_type,kms,price,age
Bentley,Continental,58,460,automatic,gasoline,8950,164900,2013
Porsche,911,12,309,manual,gasoline,40,164600,2017
Porsche,911,35,412,automatic,gasoline,7500,160000,2015
Porsche,911,2,309,automatic,gasoline,3000,160000,2017
Porsche,911,5,368,automatic,gasoline,10,160000,2017
Porsche,911,41,350,automatic,gasoline,44900,159900,2014
Porsche,911,50,412,automatic,gasoline,39900,159900,2013
Bentley,Continental,32,468,automatic,gasoline,23500,159900,2015
Porsche,911,38,383,automatic,gasoline,18000,159900,2014
Porsche,Panamera,14,405,automatic,gasoline,18000,159900,2016
Porsche,911,50,350,automatic,gasoline,13000,159900,2013
Porsche,911,2,331,automatic,gasoline,8000,159900,2017
Porsche,911,44,350,automatic,gasoline,24000,159000,2014
Porsche,911,37,412,automatic,gasoline,11000,159000,2014
Porsche,911,37,412,automatic,gasoline,11000,159000,2014
Porsche,911,37,412,automatic,gasoline,11000,159000,2014
Porsche,911,37,412,automatic,gasoline,11000,159000,2014
Porsche,911,37,412,automatic,gasoline,11000,159000,2014
Bentley,Continental,60,373,automatic,gasoline,23300,157900,2013
Porsche,911,44,350,automatic,gasoline,24800,157800,2014
Land,RoverRangeRoverSport,21,375,automatic,gasoline,15000,157000,2016
Bentley,Continental,32,373,automatic,gasoline,7712,156900,2015
Porsche,911,44,350,automatic,gasoline,24000,155000,2014
Porsche,911,11,316,automatic,gasoline,17000,155000,2017
Porsche,911,206,265,manual,gasoline,10000,155000,2000
Porsche,Panamera,9,340,automatic,hybrid,4000,155000,2017
Porsche,911,40,412,automatic,gasoline,40000,152900,2014
Porsche,911,6,331,automatic,gasoline,95,150000,2017
Porsche,Cayenne,33,382,automatic,gasoline,28500,149999,2015
Porsche,911,29,412,automatic,gasoline,38700,149990,2015
Bentley,Continental,47,373,automatic,gasoline,62000,149900,2014
Porsche,911,49,350,automatic,gasoline,19000,149900,2013
Porsche,911,60,390,automatic,gasoline,16000,149900,2013
Porsche,Panamera,2,324,automatic,gasoline,10,149900,2017
Land,RoverRangeRover,18,405,automatic,gasoline,25000,149569,2016
Porsche,911,41,350,automatic,gasoline,10200,149500,2014
Land,RoverRangeRover,1,250,automatic,diesel,100,149000,2017
